store_Id,user_id,name,vicinity,Features
1222,1204,Plymouth Congregational Church,New Haven,"cafe,restaurant,store,food,point_of_interest,establishment"
1901,1010,Prime 16,"172 Temple Street, New Haven","cafe,food,point_of_interest,establishment"
2255,1051,Yale Law School,"127 Wall Street, New Haven","cafe,restaurant,point_of_interest,food,store,establishment"
792,1377,Modern Apizza,"874 State Street, New Haven","car_dealer,store,point_of_interest,establishment"
524,1047,Albertus Magnus College,"700 Prospect Street, New Haven","car_dealer,store,point_of_interest,establishment"
870,1248,360 State,"360 State Street, New Haven","car_dealer,storage,car_repair,store,point_of_interest,establishment"
146,1095,Barsky Carol L MD,"20 York Street # 2, New Haven","car_dealer,store,car_repair,point_of_interest,establishment"
510,1312,Thomas Sheeja MD,"20 York Street # 2, New Haven","car_dealer,store,point_of_interest,establishment"
106,1362,Latic Igor MD,"20 York Street # 2, New Haven","car_dealer,finance,store,point_of_interest,establishment"
279,1438,Mecca Marcia C MD,"20 York Street # 2, New Haven","car_dealer,finance,point_of_interest,store,establishment"
1807,1500,Brown James E MD,"20 York Street, New Haven","car_dealer,finance,point_of_interest,store,establishment"
896,1360,Lee Hochang B MD,"20 York Street # 2, New Haven","car_dealer,store,car_repair,point_of_interest,establishment"
1403,1344,Della-Giustina David A MD,"20 York Street, New Haven","car_dealer,store,point_of_interest,establishment"
207,1488,Cohen Andrew B MD,"20 York Street, New Haven","car_dealer,car_repair,point_of_interest,store,establishment"
709,1171,Perez Lozada Juan C MD,"20 York Street # 2, New Haven","car_rental,point_of_interest,establishment"
1824,1403,Ingalls Ice Rink,"Ingalls Rink, 73 Sachem Street, New Haven","car_rental,point_of_interest,establishment"
1871,1099,Urban Outfitters,"43 Broadway, New Haven","car_rental,point_of_interest,establishment"
1144,1107,Union Station Garage,"40 Union Avenue, New Haven","car_rental,point_of_interest,establishment"
108,1131,Alexion Pharmaceuticals,"100 College Street, New Haven","car_rental,point_of_interest,establishment"
2176,1386,Avis Car Rental,"Train Station, 50 Union Avenue, New Haven","car_rental,point_of_interest,establishment"
